datetime,open,high,low,close,volume,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2025-01-02 13:00:00,2.40720000,2.41160000,2.40310000,2.40900000,521377.00000000,1255009.40000000,3616,250755.00000000,603481.22350000
2025-01-02 13:05:00,2.40910000,2.41340000,2.40810000,2.41110000,372557.00000000,898335.28100000,2446,177483.00000000,427904.25050000
2025-01-02 13:10:00,2.41110000,2.41430000,2.40460000,2.40520000,690901.00000000,1664876.62050000,3391,308946.00000000,744584.94030000
2025-01-02 13:15:00,2.40510000,2.40660000,2.39610000,2.39890000,1226634.00000000,2945484.75850000,5884,481289.00000000,1155657.00520000
2025-01-02 13:20:00,2.39900000,2.40240000,2.39360000,2.39700000,1334937.00000000,3199998.50330000,4841,612632.00000000,1468248.82310000
2025-01-02 13:25:00,2.39700000,2.40420000,2.39700000,2.40360000,480377.00000000,1153738.11140000,3269,221063.00000000,530912.11170000
2025-01-02 13:30:00,2.40370000,2.40420000,2.39440000,2.39990000,583523.00000000,1399317.89950000,3955,271429.00000000,650779.86070000
2025-01-02 13:35:00,2.39980000,2.40600000,2.39770000,2.40590000,616666.00000000,1481639.72930000,3305,265332.00000000,637590.07550000
2025-01-02 13:40:00,2.40590000,2.40620000,2.39960000,2.40140000,515409.00000000,1239036.41320000,3588,228962.00000000,550386.34730000
2025-01-02 13:45:00,2.40130000,2.40160000,2.39100000,2.39350000,1323948.00000000,3170315.58860000,6097,576882.00000000,1381391.77350000
2025-01-02 13:50:00,2.39350000,2.39700000,2.38630000,2.38740000,1135573.00000000,2715379.59720000,5939,471773.00000000,1128056.19690000
2025-01-02 13:55:00,2.38730000,2.39430000,2.38570000,2.39110000,673927.00000000,1611147.33090000,4415,335370.00000000,801748.92650000
2025-01-02 14:00:00,2.39100000,2.39330000,2.36410000,2.36810000,3938349.00000000,9367939.21440000,14737,1500020.00000000,3570896.80680000
2025-01-02 14:05:00,2.36800000,2.38340000,2.36780000,2.38150000,1997472.00000000,4747260.99570000,8958,1156873.00000000,2749368.78930000
2025-01-02 14:10:00,2.38150000,2.38550000,2.37320000,2.38370000,1123300.00000000,2674580.30900000,6386,560650.00000000,1334799.59020000
2025-01-02 14:15:00,2.38380000,2.38830000,2.37610000,2.37820000,855958.00000000,2038680.57670000,5050,396432.00000000,944085.09350000
2025-01-02 14:20:00,2.37820000,2.38490000,2.37540000,2.38440000,698738.00000000,1663568.31850000,3904,357082.00000000,850261.25880000
2025-01-02 14:25:00,2.38430000,2.39190000,2.38410000,2.38900000,848188.00000000,2025011.89390000,3739,546699.00000000,1305104.02350000
2025-01-02 14:30:00,2.38900000,2.42240000,2.38650000,2.40180000,4302175.00000000,10357718.02910000,22674,2601931.00000000,6263185.06440000
2025-01-02 14:35:00,2.40170000,2.40270000,2.38980000,2.39360000,1960926.00000000,4698912.66060000,12281,891714.00000000,2137362.60670000
2025-01-02 14:40:00,2.39370000,2.41960000,2.39100000,2.40930000,2874521.00000000,6935207.65060000,12507,1292721.00000000,3117885.15080000
2025-01-02 14:45:00,2.40930000,2.41670000,2.40270000,2.40810000,1333604.00000000,3214920.56310000,9550,607209.00000000,1463650.26620000
2025-01-02 14:50:00,2.40810000,2.41060000,2.40190000,2.40950000,1163335.00000000,2799949.48150000,6594,599757.00000000,1443773.15080000
2025-01-02 14:55:00,2.40960000,2.41120000,2.40190000,2.40760000,1016167.00000000,2445466.25270000,6239,479601.00000000,1154143.88620000
2025-01-02 15:00:00,2.40750000,2.40860000,2.39310000,2.39700000,1081543.00000000,2594970.39920000,6583,439442.00000000,1054622.32870000
2025-01-02 15:05:00,2.39710000,2.40100000,2.39280000,2.39730000,713044.00000000,1709134.91080000,5075,299034.00000000,716895.39180000
2025-01-02 15:10:00,2.39720000,2.40420000,2.39370000,2.40120000,719061.00000000,1725684.95860000,4633,318539.00000000,764400.29400000
2025-01-02 15:15:00,2.40130000,2.40410000,2.38860000,2.38970000,787188.00000000,1887460.52800000,5057,278892.00000000,669028.98140000
2025-01-02 15:20:00,2.38960000,2.39000000,2.37860000,2.37990000,2218649.00000000,5286439.15500000,9768,1199620.00000000,2858236.25000000
2025-01-02 15:25:00,2.37990000,2.39060000,2.37910000,2.39040000,996306.00000000,2377747.65970000,5674,464019.00000000,1107400.00130000
2025-01-02 15:30:00,2.39040000,2.39300000,2.38270000,2.38460000,889475.00000000,2123908.80830000,5176,310025.00000000,740227.05030000
2025-01-02 15:35:00,2.38460000,2.39070000,2.38040000,2.38790000,933880.00000000,2227998.19850000,5966,524467.00000000,1251232.78050000
2025-01-02 15:40:00,2.38800000,2.39230000,2.38280000,2.39070000,668283.00000000,1595168.52270000,4382,286975.00000000,685020.11370000
2025-01-02 15:45:00,2.39070000,2.40930000,2.38930000,2.40680000,1286521.00000000,3088306.32580000,8266,652923.00000000,1567887.66350000
2025-01-02 15:50:00,2.40670000,2.40670000,2.39730000,2.40510000,1125113.00000000,2702667.56870000,6378,481518.00000000,1156600.80150000
2025-01-02 15:55:00,2.40500000,2.40680000,2.40040000,2.40420000,664797.00000000,1597666.72610000,4719,258426.00000000,621149.41170000
2025-01-02 16:00:00,2.40430000,2.40830000,2.39430000,2.39830000,763175.00000000,1832203.76500000,5633,273926.00000000,657560.53670000
